2018-05-14-10:47:22,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:24,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:25,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:27,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:28,3:28:99 1A:0:B9 284.2726
2018-05-14-10:47:30,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:31,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:33,3:28:9B 1A:0:BB 284.2754
2018-05-14-10:47:34,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:36,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:37,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:39,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:40,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:42,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:43,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:45,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:46,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:48,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:49,3:28:99 1A:0:B9 284.2726
2018-05-14-10:47:51,3:28:99 1A:0:B9 284.2726
2018-05-14-10:47:52,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:54,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:55,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:57,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:47:58,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:00,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:01,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:48:03,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:04,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:06,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:48:07,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:09,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:48:10,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:12,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:13,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:15,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:16,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:18,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:19,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:21,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:22,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:24,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:25,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:27,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:28,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:30,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:31,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:33,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:34,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:36,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:37,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:39,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:40,3:28:98 1A:0:B8 284.2712
2018-05-14-10:48:42,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:43,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:45,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:46,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:48,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:49,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:51,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:52,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:54,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:55,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:57,3:28:99 1A:0:B9 284.2726
2018-05-14-10:48:58,3:28:99 1A:0:B9 284.2726
2018-05-14-10:49:00,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:01,3:28:99 1A:0:B9 284.2726
2018-05-14-10:49:03,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:04,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:06,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:07,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:09,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:10,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:12,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:13,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:15,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:16,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:18,3:28:99 1A:0:B9 284.2726
2018-05-14-10:49:19,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:21,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:22,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:24,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:25,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:27,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:28,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:30,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:31,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:33,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:34,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:36,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:37,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:39,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:40,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:42,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:43,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:45,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:46,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:48,3:28:98 1A:0:B8 284.2712
2018-05-14-10:49:49,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:51,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:52,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:54,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:55,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:57,3:28:97 1A:0:B7 284.2699
2018-05-14-10:49:58,3:28:98 1A:0:B8 284.2712
2018-05-14-10:50:00,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:01,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:03,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:04,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:06,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:07,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:09,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:10,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:12,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:13,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:15,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:16,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:18,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:19,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:21,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:22,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:24,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:25,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:27,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:28,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:30,3:28:96 1A:0:B6 284.2685
2018-05-14-10:50:31,3:28:96 1A:0:B6 284.2685
2018-05-14-10:50:33,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:34,3:28:97 1A:0:B7 284.2699
2018-05-14-10:50:36,3:28:97 1A:0:B7 284.2699
